課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,ESM 第一期,"ESM 第二期 ","ESM教案 "
1,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年9月2日 16:00 (GMT+8) → 17:00,,風車 (https://www.notion.so/1a10a4c0ed8481778b38d2c3b70cd58e?pvs=21),
2,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年9月9日 16:00 (GMT+8) → 17:00,,倒沙車 (https://www.notion.so/21d0a4c0ed8480798620fb4217d9afea?pvs=21),
3,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年9月16日 16:00 (GMT+8) → 17:00,,海盜船 (https://www.notion.so/21d0a4c0ed848027a7d4df5e847957be?pvs=21),
4,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年9月23日 16:00 (GMT+8) → 17:00,,足球游戲 (https://www.notion.so/21d0a4c0ed8480498cc4ce4fbbe478ae?pvs=21),
5,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年9月30日 16:00 (GMT+8) → 17:00,,摩天輪 (https://www.notion.so/26c0a4c0ed8480c9bd4bfed3e158cdf9?pvs=21),
6,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年10月7日 16:00 (GMT+8) → 17:00,,手動起重機 (https://www.notion.so/21d0a4c0ed8480b7b67eeaadff470646?pvs=21),
7,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年10月14日 16:00 (GMT+8) → 17:00,,廣告車 (https://www.notion.so/21d0a4c0ed8480dc8fddc57a8a79b808?pvs=21),
8,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年10月21日 16:00 (GMT+8) → 17:00,,蹺蹺板 (https://www.notion.so/21d0a4c0ed8480dda061fb230b3bc3bd?pvs=21),
9,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年10月28日 16:00 (GMT+8) → 17:00,,扭蛋機 (https://www.notion.so/21d0a4c0ed8480f78729e327fd9c3eb1?pvs=21),
10,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年11月4日 16:00 (GMT+8) → 17:00,,飛天旋轉椅 (https://www.notion.so/21d0a4c0ed8480c2bc3bf0a8ae37c43c?pvs=21),
11,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年11月11日 16:00 (GMT+8) → 17:00,,會跳舞的街頭藝人 (https://www.notion.so/21d0a4c0ed848023a56fd8bc17657804?pvs=21),
12,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年11月18日 16:00 (GMT+8) → 17:00,,碼頭吊車 (https://www.notion.so/21d0a4c0ed848020addbe5d66b4457c2?pvs=21),
13,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年11月25日 16:00 (GMT+8) → 17:00,,鋼琴 (https://www.notion.so/21d0a4c0ed8480909afacd7b379b8553?pvs=21),
14,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年12月2日 16:00 (GMT+8) → 17:00,,挖土機 (https://www.notion.so/21d0a4c0ed8480459fe2d393abba67eb?pvs=21),
15,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年12月9日 16:00 (GMT+8) → 17:00,,自動脚踏車 (https://www.notion.so/21d0a4c0ed848034bfa0d97735281f6a?pvs=21),
16,ESM 二 16:00-17:00 外,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), YOKI (https://www.notion.so/YOKI-20d0a4c0ed8480eb91bfcac0c37afbb2?pvs=21)",,台北市大安區新生南路一段113號,衛理幼兒園,2025年12月16日 16:00 (GMT+8) → 17:00,,火車 (https://www.notion.so/21d0a4c0ed8480059c0fc0fc98c23201?pvs=21),